"","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases"
"Eritrea","43 463","74 041","93 878","46 440","54 005","24 251","28 036","50 534","21 317","21 815","34 848","35 982","11 759","8 764","15 565","6 541","9 073","4 119","10 346","6 078","9 716",""
"Eswatini","581","325","589","957","1 127","317","475","711","962","562","549","268","106","58","84","155","279","574","342","670","1 395",""
"Ethiopia","1 397 151","1 743 755","904 495","962 087","1 530 739","1 718 504","1 867 059","2 118 815","2 645 454","1 692 578","1 480 360","1 196 829","1 036 316","458 561","451 816","447 780","538 942","578 904","463 797","427 795","392 377",""
"French Guiana","143","154","212","546","597","258","434","448","875","900","1 209","1 632","3 462","3 320","4 828","4 074","3 414","3 038","3 839","3 661","3 823","3 708"
"Gabon","64 957","53 659","53 182","111 719","35 244","23 915","23 867","31 900","28 982","19 753","","13 936","660","40 701","45 186","33 458","70 644","70 075","58 212","62 976","53 167","50 810"
"Gambia","77 287","75 801","53 386","87 448","78 040","162 739","246 348","168 256","242 513","313 469","268 020","116 353","50 378","39 164","","","","","","","",""
"Georgia","","4","8","9","9","7","6","5","7","5","6","0","7","8","25","119","156","260","324","475","439","246"
"Ghana","5 747 585","5 172 803","6 115 267","4 931 454","7 003 155","5 428 979","5 657 096","3 415 912","1 643 642","3 755 166","1 041 260","1 071 637","1 104 370","1 094 483","476 484","472 255","655 093","475 441","","","",""
"Guatemala","1 273","1 058","2 072","3 021","4 124","5 001","5 540","4 931","6 214","5 346","6 817","7 384","7 080","7 198","15 382","31 093","39 751","28 955","31 127","35 540","35 824","53 311"
"Guinea","2 422 374","2 008 976","2 143 225","1 214 996","1 335 323","992 146","810 979","660 207","211 257","340 258","95 574","20 936","35 841","33 405","44 518","54 227","50 452","103 069","107 925","16 561","6 238","4 800"
"Guinea-Bissau","","","160 907","171 075","152 619","156 471","150 085","97 424","54 584","50 381","71 982","50 391","11 757","11 299","14 284","15 120","14 659","","","","",""
"Guyana","20 850","17 230","18 826","17 038","13 936","11 108","9 984","12 354","31 479","31 601","29 471","22 935","13 673","11 815","11 656","21 064","38 984","28 866","27 627","21 895","27 122","24 018"
"Haiti","9 513","22 996","10 687","8 828","19 135","21 430","17 583","17 696","26 543","27 866","34 350","84 153","49 535","36 774","29 825","32 739","21 778","10 802","","","9 837","16 897"
"Honduras","1 657","913","391","653","1 283","4 097","3 555","3 380","5 364","6 439","7 618","9 745","9 321","8 368","10 513","11 923","16 007","17 293","14 123","17 223","24 149","35 125"
"India","161 753","186 532","338 494","429 928","844 558","1 087 285","1 169 261","1 102 205","881 730","1 067 824","1 310 656","1 599 986","1 563 574","1 526 210","1 508 927","1 785 129","1 816 569","1 915 363","1 869 403","1 841 229","2 085 484","2 031 790"
"Indonesia","304 607","254 055","250 646","222 345","261 617","218 450","217 025","252 027","343 527","417 819","422 447","465 764","418 439","461 060","317 314","347 597","315 394","304 936","242 771","288 478","276 204","245 612"
"Iran (Islamic Republic of)","999","1 051","1 190","625","939","705","799","1 243","1 374","1 629","3 239","3 031","6 122","11 460","15 712","15 909","18 966","13 821","23 562","15 558","19 303","19 716"
"Iraq","25","2","13","12","9","5","2","2","8","8","11","7","1","6","3","24","47","155","347","952","1 265","1 860"
"Kazakhstan","","0","","","","","","","","","","","","","","","","","","","",""
